j._k._rowling_harry_potter 	NP 	J._K._Rowling_Harry_Potter
, 	Fc 	,
malfoy 	NP 	Malfoy
- 	Fg 	-
dizer 	VMI 	disse
o 	DA 	o
harry 	NP 	Harry
. 	Fp 	.
o 	DA 	O
mesmo 	RG 	mesmo
pensamento 	NC 	pensamento
parecer 	VMI 	parecia
ter 	VMN 	ter
cruzar 	VMP 	cruzado
o 	DA 	a
mente 	NC 	mente
de 	SP 	de
malfoy 	NP 	Malfoy
. 	Fp 	.
- 	Fg 	-
apanhar 	VMI 	Apanha
se 	PP 	se
ir 	VMS 	fores
capaz 	AQ 	capaz
! 	Fat 	!
- 	Fg 	-
gritar 	VMI 	gritou
ele 	PP 	ele
, 	Fc 	,
atirar 	VMG 	atirando
a 	SP 	a
o 	DA 	o
ar 	NC 	ar
a 	SP 	a
bola 	NC 	bola
de 	SP 	de
vidro 	NC 	vidro
que 	PR 	que
começar 	VMI 	começou
a 	SP 	a
descer 	VMN 	descer
direita 	NC 	direita
a 	SP 	a
o 	DA 	o
chão 	NC 	chão
. 	Fp 	.
harry 	NP 	Harry
inclinar 	VMI 	inclinou
o 	DA 	a
vassoura 	NC 	vassoura
para 	SP 	para
trás 	I 	trás
e 	CC 	e
dirigir 	VMI 	dirigiu
o 	PP 	a
para 	SP 	para
baixo 	AQ 	baixo
- 	Fg 	-
um 	DI 	um
segundo 	NC 	segundo
depois 	RG 	depois
descer 	VMI 	descia
a_toda_a 	SP 	a_toda_a
velocidade 	NC 	velocidade
atrás 	RG 	atrás
de 	SP 	de
o 	DA 	a
bola 	NC 	bola
-- 	Fg 	--
, 	Fc 	,
o 	DA 	o
vento 	NC 	vento
assobiar 	VMI 	assobiava
lhe 	PP 	lhe
a 	SP 	a
o 	DA 	os
ouvido 	NC 	ouvidos
. 	Fp 	.
o 	DA 	A
centímetro 	NC 	centímetros
de 	SP 	de
o 	DA 	o
chão 	NC 	chão
agarrar 	VMI 	agarrou
o 	PP 	a
, 	Fc 	,
mesmo 	RG 	mesmo
a_tempo_de 	SP 	a_tempo_de
pôr 	VMN 	pôr
o 	DA 	a
vassoura 	NC 	vassoura
direito 	AQ 	direita
e 	CC 	e
pousar 	VMN 	pousá
o 	PP 	a
delicado 	RG 	delicadamente
em 	SP 	em
o 	DA 	o
relvado 	NC 	relvado
com 	SP 	com
o 	DA 	o
* 	Fz 	*
lembrador 	NC 	lembrador
* 	Fz 	*
o 	DA 	a
salvo 	RG 	salvo
, 	Fc 	,
em 	SP 	em
o 	DA 	a
mão 	NC 	mão
. 	Fp 	.
- 	Fg 	-
harry_potter 	NP 	HARRY_POTTER
! 	Fat 	!
o 	DA 	O
seu 	DP 	seu
coração 	NC 	coração
começar 	VMI 	começou
a 	SP 	a
bater 	VMN 	bater
com 	SP 	com
toda_a 	DI 	toda_a
força 	NC 	força
. 	Fp 	.
o 	DA 	A
professor 	NC 	professora
mc_gonagall 	NP 	Mc_Gonagall
vir 	VMI 	vinha
a 	SP 	a
correr 	VMN 	correr
em 	SP 	em
o 	DA 	a
direcção 	NC 	direcção
de 	SP 	de
ele 	PP 	eles
. 	Fp 	.
o 	DA 	Os
pé 	NC 	pés
de 	SP 	de
harry 	NP 	Harry
tremer 	VMI 	tremiam
. 	Fp 	.
- 	Fg 	-
nunca 	RG 	Nunca
, 	Fc 	,
em 	SP 	em
todo 	DI 	todos
este 	DD 	estes
ano 	NC 	anos
em 	SP 	em
hogwarts 	NP 	Hogwarts
... 	Fs 	...
- 	Fg 	-
o 	DA 	A
professor 	NC 	professora
mc_gonagall 	NP 	Mc_Gonagall
quase 	RG 	quase
não 	RN 	não
conseguir 	VMI 	conseguia
falar 	VMN 	falar
com 	SP 	com
o 	DA 	o
choque 	NC 	choque
e 	CC 	e
o 	DA 	os
óculo 	NC 	óculos
faiscar 	VMI 	faiscavam
de 	SP 	de
irar 	VMI 	ira
: 	Fd 	:
- 	Fg 	-
como 	CS 	Como
te 	PP 	te
atrever 	VMI 	atreves
, 	Fc 	,
poder 	VMI 	podias
ter 	VMN 	ter
partido 	NC 	partido
o 	DA 	o
pescoço 	NC 	pescoço
... 	Fs 	...
? 	Fit 	?
- 	Fg 	-
ele 	PP 	Ele
não 	RN 	não
ter 	VMI 	teve
o 	DA 	a
culpa 	NC 	culpa
, 	Fc 	,
professor 	NC 	professora
. 	Fp 	.
- 	Fg 	-
calar 	VMS 	Cale
se 	PP 	se
, 	Fc 	,
menino 	NC 	menina
patil 	NP 	Patil
... 	Fs 	...
- 	Fg 	-
mas 	CC 	Mas
o 	DA 	o
malfoy 	NP 	Malfoy
... 	Fs 	...
- 	Fg 	-
chegar 	VMI 	Chega
, 	Fc 	,
ron_weasley 	NP 	Ron_Weasley
. 	Fp 	.
potter 	NP 	Potter
, 	Fc 	,
vir 	VMS 	venha
imediato 	RG 	imediatamente
comigo 	PP 	comigo
. 	Fp 	.
harry 	NP 	Harry
ver 	VMI 	viu
por 	SP 	por
o 	DA 	o
canto 	NC 	canto
de 	SP 	de
o 	DA 	o
olho 	NC 	olho
o 	DA 	o
ar 	NC 	ar
triunfante 	AQ 	triunfante
de 	SP 	de
malfoy 	NP 	Malfoy
, 	Fc 	,
crabbe 	NP 	Crabbe
e 	CC 	e
goyle 	NP 	Goyle
enquanto 	RG 	enquanto
seguir 	VMI 	seguia
, 	Fc 	,
meio 	RG 	meio
entorpecer 	VMP 	entorpecido
, 	Fc 	,
o 	DA 	a
professor 	NC 	professora
mc_gonagall 	NP 	Mc_Gonagall
até 	RG 	até
a 	SP 	a
o 	DA 	o
castelo 	NC 	castelo
. 	Fp 	.
ir 	VMI 	Ia
com 	SP 	com
certeza 	NC 	certeza
ser 	VMN 	ser
expulso 	AQ 	expulso
. 	Fp 	.
ser 	VMI 	Era
o 	PD 	o
que 	PR 	que
ir 	VMI 	ia
acontecer 	VMN 	acontecer
. 	Fp 	.
querer 	VMI 	Queria
dizer 	VMN 	dizer
qualquer 	DI 	qualquer
coisa 	NC 	coisa
para 	SP 	para
se 	PP 	se
defender 	VMN 	defender
mas 	CC 	mas
parecer 	VMI 	parecia
ter 	VMN 	ter
lhe 	PP 	lhe
acontecer 	VMP 	acontecido
algo 	RG 	algo
estranho 	AQ 	estranho
a 	SP 	a
o 	DA 	a
voz 	NC 	voz
. 	Fp 	.
o 	DA 	A
professor 	NC 	professora
mc_gonagall 	NP 	Mc_Gonagall
avançar 	VMI 	avançava
sem 	SP 	sem
sequer 	RG 	sequer
olhar 	VMN 	olhar
para 	SP 	para
ele 	PP 	ele
. 	Fp 	.
harry 	NP 	Harry
ter 	VMI 	teve
de 	SP 	de
se 	PP 	se
apressar 	VMN 	apressar
para 	SP 	para
conseguir 	VMN 	conseguir
acompanhar 	VMN 	acompanhá
o 	PP 	a
. 	Fp 	.
ter 	VMI 	Tinha
o 	PP 	a
fazer 	VMP 	feito
bonita 	NC 	bonita
! 	Fat 	!
nem 	CC 	Nem
chegar 	VMI 	chegara
o 	DA 	a
2 	Z 	duas
semana 	NC 	semanas
. 	Fp 	.
dentro_de 	SP 	Dentro_de
10 	Z 	dez
minuto 	NC 	minutos
ir 	VMI 	ia
estar 	VMN 	estar
a 	SP 	a
fazer 	VMN 	fazer
o 	DA 	as
mala 	NC 	malas
. 	Fp 	.
e 	CC 	E
o 	PD 	o
que 	PR 	que
dizer 	VMI 	diriam
o 	DA 	os
dursleys 	NP 	Dursleys
quando 	RG 	quando
o 	PP 	o
ver 	VMS 	vissem
aparecer 	VMN 	aparecer
lhe 	PP 	lhes
de_novo 	RG 	de_novo
a 	SP 	a
o 	DA 	a
porta 	NC 	porta
? 	Fit 	?
subir 	VMI 	Subiram
o 	DA 	os
degrau 	NC 	degraus
de 	SP 	de
o 	DA 	a
entrada 	NC 	entrada
, 	Fc 	,
o 	DA 	os
de 	SP 	de
o 	DA 	a
escadaria 	NC 	escadaria
de 	SP 	de
mármore 	NC 	mármore
e 	CC 	e
o 	DA 	a
professor 	NC 	professora
mc_gonagall 	NP 	Mc_Gonagall
continuar 	VMI 	continuava
a 	SP 	a
não 	RN 	não
lhe 	PP 	lhe
dirigir 	VMN 	dirigir
o 	DA 	a
palavra 	NC 	palavra
. 	Fp 	.
abrir 	VMI 	Abriu
violento 	RG 	violentamente
o 	DA 	as
porta 	NC 	portas
e 	CC 	e
percorrer 	VMI 	percorreu
o 	DA 	os
corredor 	NC 	corredores
com 	SP 	com
harry 	NP 	Harry
atrás 	RG 	atrás
de 	SP 	de
ele 	PP 	ela
em 	SP 	em
um 	DI 	um
passo 	NC 	passo
rápido 	AQ 	rápido
e 	CC 	e
infeliz 	AQ 	infeliz
. 	Fp 	.
talvez 	RG 	Talvez
fossar 	VMS 	fosse
levar 	VMN 	levá
o 	PP 	o
a 	SP 	a
o 	DA 	a
presença 	NC 	presença
de 	SP 	de
dumbledore 	NP 	Dumbledore
. 	Fp 	.
lembrar 	VMI 	Lembrou
se 	PP 	se
de 	SP 	de
hagrid 	NP 	Hagrid
expulso 	AQ 	expulso
mas 	CC 	mas
a 	SP 	a
quem 	PT 	quem
ir 	VMI 	foi
permitir 	VMP 	permitido
ficar 	VMN 	ficar
como 	CS 	como
guarda 	NC 	guarda
de 	SP 	de
o 	DA 	os
campo 	NC 	campos
. 	Fp 	.
talvez 	RG 	Talvez
ele 	PP 	ele
poder 	VMS 	pudesse
ser 	VMN 	ser
assistente 	NC 	assistente
de 	SP 	de
o 	DA 	o
hagrid 	NP 	Hagrid
. 	Fp 	.
mas 	CC 	Mas
o 	DA 	o
estômago 	NC 	estômago
contorcer 	VMI 	contorceu
se 	PP 	se
perante 	SP 	perante
o 	DA 	a
ideia 	NC 	ideia
de 	SP 	de
ver 	VMN 	ver
o 	DA 	o
ron 	NP 	Ron
e 	CC 	e
o 	DA 	os
outro 	PI 	outros
tornar 	VMN 	tornarem
se 	PP 	se
feiticeiro 	NC 	feiticeiros
enquanto 	RG 	enquanto
ele 	PP 	ele
andar 	VMI 	andava
por 	SP 	por
ali 	RG 	ali
transportar 	VMG 	transportando
o 	DA 	o
saco 	NC 	saco
de 	SP 	de
o 	DA 	o
hagrid 	NP 	Hagrid
. 	Fp 	.
o 	DA 	A
professor 	NC 	professora
mc_gonagall 	NP 	Mc_Gonagall
parar 	VMI 	parou
a 	SP 	a
o 	DA 	a
porta 	NC 	porta
de 	SP 	de
um 	DI 	uma
sala 	NC 	sala
de 	SP 	de
aula 	NC 	aula
. 	Fp 	.
entreabrir 	VMI 	Entreabriu
o 	PP 	a
e 	CC 	e
enfiar 	VMI 	enfiou
lá 	RG 	lá
dentro 	RG 	dentro
o 	DA 	a
cabeça 	NC 	cabeça
. 	Fp 	.
- 	Fg 	-
desculpar 	VMS 	Desculpe
, 	Fc 	,
professor 	NC 	professor
flitwick 	NP 	Flitwick
, 	Fc 	,
poder 	VMI 	posso
roubar 	VMN 	roubar
lhe 	PP 	lhe
o 	DA 	o
wood 	NP 	Wood
por 	SP 	por
um 	DI 	uns
minuto 	NC 	minutos
? 	Fit 	?
- 	Fg 	-
wood 	NP 	Wood
? 	Fit 	?
- 	Fg 	-
pensar 	VMI 	pensou
harry 	NP 	Harry
, 	Fc 	,
confuso 	AQ 	confuso
. 	Fp 	.
ser 	VMI 	Seria
o 	DA 	o
wood 	NP 	Wood
( 	Fpa 	(
madeira 	NC 	madeira
) 	Fpt 	)
um 	DI 	um
pau 	NC 	pau
com 	SP 	com
que 	PR 	que
ir 	VMI 	ia
bater 	VMN 	bater
lhe 	PP 	lhe
? 	Fit 	?
mas 	CC 	Mas
afinal 	RG 	afinal
o 	DA 	o
wood 	NP 	Wood
ser 	VMI 	era
um 	DI 	uma
pessoa 	NC 	pessoa
, 	Fc 	,
um 	DI 	um
rapaz 	NC 	rapaz
corpulento 	AQ 	corpulento
de 	SP 	de
o 	DA 	o
quinto 	AO 	quinto
ano 	NC 	ano
que 	PR 	que
sair 	VMI 	saiu
de 	SP 	de
o 	DA 	a
aula 	NC 	aula
de 	SP 	de
o 	DA 	o
flitwick 	NP 	Flitwick
com 	SP 	com
um 	DI 	um
ar 	NC 	ar
baralhar 	VMP 	baralhado
. 	Fp 	.
- 	Fg 	-
atrás_de 	SP 	Atrás_de
mim 	PP 	mim
, 	Fc 	,
você 	PP 	vocês
o 	DA 	os
2 	Z 	dois
- 	Fg 	-
dizer 	VMI 	disse
o 	DA 	a
professor 	NC 	professora
mc_gonagall 	NP 	Mc_Gonagall
e 	CC 	e
ele 	PP 	eles
assim 	RG 	assim
fazer 	VMI 	fizeram
, 	Fc 	,
seguir 	VMG 	seguindo
o 	PP 	a
por 	SP 	por
o 	DA 	o
corredor 	NC 	corredor
fora 	RG 	fora
, 	Fc 	,
o 	DA 	o
wood 	NP 	Wood
olhar 	VMG 	olhando
cheio 	AQ 	cheio
de 	SP 	de
curiosidade 	NC 	curiosidade
para 	SP 	para
harry 	NP 	Harry
. 	Fp 	.
- 	Fg 	-
aqui 	RG 	Aqui
. 	Fp 	.
o 	DA 	A
professor 	NC 	professora
mc_gonagall 	NP 	Mc_Gonagall
fazer 	VMI 	fez
lhe 	PP 	lhes
sinal 	NC 	sinal
para 	SP 	para
que 	CS 	que
entrar 	VMS 	entrassem
em 	SP 	em
um 	DI 	uma
sala 	NC 	sala
de 	SP 	de
aula 	NC 	aula
vazio 	AQ 	vazia
, 	Fc 	,
onde 	RG 	onde
peeves 	NP 	Peeves
, 	Fc 	,
o 	DA 	o
fantasma 	NC 	fantasma
, 	Fc 	,
estar 	VMI 	estava
a 	SP 	a
escrever 	VMN 	escrever
obscenidade 	NC 	obscenidades
em 	SP 	em
o 	DA 	o
quadro 	NC 	quadro
. 	Fp 	.
- 	Fg 	-
ir 	VMI 	Fora
de 	SP 	de
aqui 	RG 	aqui
, 	Fc 	,
peeves 	NP 	Peeves
! 	Fat 	!
- 	Fg 	-
rosnar 	VMI 	rosnou
ele 	PP 	ela
. 	Fp 	.
o 	DA 	O
peeves 	NP 	Peeves
atirar 	VMI 	atirou
o 	DA 	o
giz 	NC 	giz
para 	SP 	para
um 	DI 	um
caixote 	NC 	caixote
de 	SP 	de
lata 	NC 	lata
que 	PR 	que
ressoar 	VMI 	ressoou
forte 	RG 	fortemente
e 	CC 	e
sair 	VMI 	saiu
a 	SP 	a
praguejar 	VMN 	praguejar
. 	Fp 	.
mc_gonagall 	NP 	Mc_Gonagall
fechar 	VMI 	fechou
o 	DA 	a
porta 	NC 	porta
e 	CC 	e
voltar 	VMI 	voltou
se 	PP 	se
para 	SP 	para
o 	DA 	os
2 	Z 	dois
rapaz 	NC 	rapazes
. 	Fp 	.
- 	Fg 	-
potter 	NP 	Potter
, 	Fc 	,
este 	PD 	este
ser 	VMI 	é
oliverwood 	NP 	OliverWood
. 	Fp 	.
wood 	NP 	Wood
, 	Fc 	,
encontrar 	VMI 	encontrei
te 	PP 	te
um 	DI 	um
* 	Fz 	*
seeker 	NC 	seeker
* 	Fz 	*
! 	Fat 	!
o 	DA 	A
expressão 	NC 	expressão
de 	SP 	de
wood 	NP 	Wood
mudar 	VMI 	mudou
de 	SP 	de
o 	DA 	a
confusão 	NC 	confusão
» 	Frc 	»
arar 	VMI 	ara
um 	DI 	uma
satisfação 	NC 	satisfação
imenso 	AQ 	imensa
. 	Fp 	.
- 	Fg 	-
estar 	VMI 	Está
a 	SP 	a
talar 	VMN 	talar
o 	DA 	a
sério 	NC 	sério
, 	Fc 	,
professor 	NC 	professora
? 	Fit 	?
- 	Fg 	-
o 	DA 	O
mais 	RG 	mais
o 	DA 	a
sério 	NC 	sério
que 	PR 	que
ser 	VMI 	é
possível 	AQ 	possível
- 	Fg 	-
dizer 	VMI 	disse
o 	DA 	a
professor 	NC 	professora
mc_gonagall 	NP 	Mc_Gonagall
, 	Fc 	,
rápido 	AQ 	rápida
e 	CC 	e
confiante 	AQ 	confiante
. 	Fp 	.
- 	Fg 	-
o 	DA 	O
rapaz 	NC 	rapaz
ter 	VMI 	tem
um 	DI 	um
dom 	NC 	dom
natural 	AQ 	natural
, 	Fc 	,
nunca 	RG 	nunca
ver 	VMI 	vi
nada 	PI 	nada
assim 	RG 	assim
. 	Fp 	.
ir 	VMI 	Foi
o 	DA 	a
teu 	DP 	tua
primeiro 	AO 	primeira
vez 	NC 	vez
em 	SP 	em
um 	DI 	uma
vassoura 	NC 	vassoura
, 	Fc 	,
potter 	NP 	Potter
? 	Fit 	?
harry 	NP 	Harry
acenar 	VMI 	acenou
afirmativo 	RG 	afirmativamente
. 	Fp 	.
não 	RN 	Não
ter 	VMI 	tinha
o 	DA 	a
menor 	AQ 	menor
ideia 	NC 	ideia
do_que 	CS 	do_que
estar 	VMI 	estava
a 	SP 	a
passar 	VMN 	passar
se 	PP 	se
mas 	CC 	mas
não 	RN 	não
lhe 	PP 	lhe
parecer 	VMI 	parecia
que 	PR 	que
estar 	VMS 	estivesse
para 	SP 	para
ser 	VMN 	ser
expulso 	AQ 	expulso
e 	CC 	e
começar 	VMI 	começou
o 	DA 	a
pouco 	PI 	pouco
e 	CC 	e
pouco 	PI 	pouco
a 	SP 	a
sentir 	VMN 	sentir
de_novo 	RG 	de_novo
o 	DA 	as
perna 	NC 	pernas
. 	Fp 	.
- 	Fg 	-
ele 	PP 	Ele
agarrar 	VMI 	agarrou
aquele 	DD 	aquela
coisa 	NC 	coisa
com 	SP 	com
o 	DA 	a
mão 	NC 	mão
depois 	RG 	depois
de 	SP 	de
um 	DI 	um
mergulho 	NC 	mergulho
de 	SP 	de
um 	DI 	um
metro 	NC 	metro
e 	CC 	e
meio 	NC 	meio
- 	Fg 	-
dizer 	VMI 	disse
o 	DA 	a
professor 	NC 	professora
mc_gonagall 	NP 	Mc_Gonagall
a 	SP 	a
o 	DA 	o
wood 	NP 	Wood
. 	Fp 	.
não 	RN 	Não
fazer 	VMI 	fez
um 	DI 	um
único 	AQ 	único
arranhão 	NC 	arranhão
. 	Fp 	.
nem 	CC 	Nem
charlie_weasley 	NP 	Charlie_Weasley
o 	PP 	o
ter 	VMI 	teria
conseguir 	VMP 	conseguido
. 	Fp 	.
wood 	NP 	Wood
ter 	VMI 	tinha
agora 	RG 	agora
o 	DA 	a
expressão 	NC 	expressão
de 	SP 	de
quem 	PR 	quem
acabar 	VMI 	acaba
de 	SP 	de
ver 	VMN 	ver
realizar 	VMP 	realizados
todo 	DI 	todos
o 	DA 	os
seu 	DP 	seus
sonho 	NC 	sonhos
. 	Fp 	.
- 	Fg 	-
algum 	DI 	Alguma
vez 	NC 	vez
ver 	VMI 	viste
um 	DI 	um
jogo 	NC 	jogo
de 	SP 	de
quidditch 	NP 	Quidditch
, 	Fc 	,
potter 	NP 	Potter
? 	Fit 	?
- 	Fg 	-
perguntar 	VMI 	perguntou
excitar 	VMP 	excitado
. 	Fp 	.
- 	Fg 	-
o 	DA 	O
wood 	NP 	Wood
ser 	VMI 	é
o 	DA 	o
capitão 	NC 	capitão
de 	SP 	de
o 	DA 	o
clube 	NC 	clube
de 	SP 	de
o 	DA 	os
gryffindor 	NP 	Gryffindor
- 	Fg 	-
explicar 	VMI 	explicou
ele 	PP 	ela
. 	Fp 	.
- 	Fg 	-
ele 	PP 	Ele
até 	RG 	até
ter 	VMI 	tem
o 	DA 	a
estrutura 	NC 	estrutura
de 	SP 	de
um 	DI 	um
* 	Fz 	*
seeker 	NC 	seeker
* 	Fz 	*
- 	Fg 	-
dizer 	VMI 	disse
o 	DA 	o
wood 	NP 	Wood
que 	PR 	que
andar 	VMI 	andava
à_volta_de 	SP 	à_volta_de
harry 	NP 	Harry
a 	SP 	a
observar 	VMN 	observá
o 	PP 	o
. 	Fp 	.
- 	Fg 	-
leve 	AQ 	Leve
, 	Fc 	,
rápido 	AQ 	rápido
, 	Fc 	,
ter 	VMI 	temos
de 	SP 	de
lhe 	PP 	lhe
arranjar 	VMN 	arranjar
um 	DI 	uma
bom 	AQ 	boa
vassoura 	NC 	vassoura
, 	Fc 	,
professor 	NC 	professora
- 	Fg 	-
um 	DI 	uma
nimbus 	NP 	Nimbus
2000 	Z 	dois_mil
ou 	CC 	ou
1 	Z 	uma
cleansweep 	NP 	Cleansweep
7 	Z 	sete
, 	Fc 	,
não 	RN 	não
achar 	VMI 	acha
? 	Fit 	?
- 	Fg 	-
eu 	PP 	Eu
ir 	VMI 	vou
falar 	VMN 	falar
com 	SP 	com
o 	DA 	o
professor 	NC 	professor
dumbledore 	NP 	Dumbledore
e 	CC 	e
ver 	VMN 	ver
se 	PP 	se
conseguir 	VMI 	conseguimos
tornear 	VMN 	tornear
esse 	DD 	essa
regra 	NC 	regra
de 	SP 	de
o 	DA 	o
primeiro 	AO 	primeiro
ano 	NC 	ano
. 	Fp 	.
bem 	RG 	Bem
precisar 	VMI 	precisamos
de 	SP 	de
um 	DI 	um
clube 	NC 	clube
melhor 	AQ 	melhor
do_que 	CS 	do_que
o 	PD 	o
de 	SP 	de
o 	DA 	o
ano 	NC 	ano
passar 	VMP 	passado
humilhados 	NP 	Humilhados
em 	SP 	em
o 	DA 	o
último 	AO 	último
campeonato 	NC 	campeonato
por 	SP 	por
o 	DA 	os
slytherin 	NP 	Slytherin
, 	Fc 	,
nem 	CC 	nem
conseguir 	VMI 	consegui
olhar 	VMN 	olhar
severus_snape 	NP 	Severus_Snape
em 	SP 	em
o 	DA 	os
olho 	NC 	olhos
durante 	SP 	durante
vários 	DI 	várias
semana 	NC 	semanas
... 	Fs 	...
o 	DA 	A
professor 	NC 	professora
mc_gonagall 	NP 	Mc_Gonagall
examinar 	VMI 	examinou
rigoroso 	RG 	rigorosamente
harry 	NP 	Harry
por 	SP 	por
cima 	NC 	cima
de 	SP 	de
o 	DA 	os
óculo 	NC 	óculos
. 	Fp 	.
- 	Fg 	-
querer 	VMI 	Quero
ouvir 	VMN 	ouvir
dizer 	VMN 	dizer
que 	PR 	que
treinar 	VMI 	treinas
o 	DA 	a
sério 	NC 	sério
, 	Fc 	,
potter 	NP 	Potter
, 	Fc 	,
ou 	CC 	ou
poder 	VMI 	posso
mudar 	VMN 	mudar
de 	SP 	de
ideia 	NC 	ideias
sobre 	SP 	sobre
o 	DA 	o
castigo 	NC 	castigo
. 	Fp 	.
- 	Fg 	-
em 	SP 	Em
seguida 	NC 	seguida
sorrir 	VMI 	sorriu
lhe 	PP 	lhe
aberto 	RG 	abertamente
. 	Fp 	.
- 	Fg 	-
o 	DA 	O
teu 	DP 	teu
pai 	NC 	pai
ficar 	VMI 	ficaria
muito 	RG 	muito
orgulhoso 	AQ 	orgulhoso
- 	Fg 	-
dizer 	VMI 	disse
. 	Fp 	.
- 	Fg 	-
ele 	PP 	Ele
também 	RG 	também
ser 	VMI 	era
um 	DI 	um
excelente 	AQ 	excelente
jogador 	NC 	jogador
de 	SP 	de
quidditch 	NP 	Quidditch
. 	Fp 	.
- 	Fg 	-
estar 	VMI 	Estás
a 	SP 	a
gozar 	VMN 	gozar
! 	Fat 	!
ser 	VMI 	Era
o 	DA 	a
hora 	NC 	hora
de 	SP 	de
o 	DA 	o
jantar 	VMN 	jantar
e 	CC 	e
harry 	NP 	Harry
ter 	VMI 	tinha
acabar 	VMP 	acabado
de 	SP 	de
relatar 	VMN 	relatar
a 	SP 	a
o 	DA 	o
ron 	NP 	Ron
todo 	DI 	todos
o 	DA 	os
acontecimento 	NC 	acontecimentos
. 	Fp 	.
ron 	NP 	Ron
ter 	VMI 	tinha
um 	DI 	um
pedaço 	NC 	pedaço
de 	SP 	de
bife 	NC 	bife
e 	CC 	e
empadão 	NC 	empadão
de 	SP 	de
batata 	NC 	batata
a 	SP 	a
meio 	AQ 	meio
caminho 	NC 	caminho
de 	SP 	de
o 	DA 	a
boca 	NC 	boca
mas 	CC 	mas
esquecer 	VMI 	esquecera
se 	PP 	se
de 	SP 	de
ele 	PP 	eles
por 	SP 	por
completo 	AQ 	completo
. 	Fp 	.
- 	Fg 	-
* 	Fz 	*
_ 	Fz 	_
seeker 	NP 	Seeker
* 	Fz 	*
- 	Fg 	-
dizer 	VMI 	disse
. 	Fp 	.
- 	Fg 	-
mas 	CC 	Mas
o 	DA 	os
primeiro 	AO 	primeiros
ano 	NC 	anos
nunca 	RG 	nunca
... 	Fs 	...
tu 	PP 	tu
dever 	VMI 	deves
ser 	VMN 	ser
o 	DA 	o
jogador 	NC 	jogador
mais 	RG 	mais
novo 	AQ 	novo
em 	SP 	em
cerca 	RG 	cerca
de 	SP 	de
... 	Fs 	...
- 	Fg 	-
um 	DI 	Um
século 	NC 	século
- 	Fg 	-
completar 	VMI 	completou
harry 	NP 	Harry
, 	Fc 	,
começar 	VMG 	começando
a 	SP 	a
comer 	VMN 	comer
o 	DA 	o
empadão 	NC 	empadão
. 	Fp 	.
sentir 	VMI 	Sentia
se 	PP 	se
esfomear 	VMP 	esfomeado
depois 	RG 	depois
de 	SP 	de
toda_a 	DI 	toda_a
excitação 	NC 	excitação
de 	SP 	de
aquele 	DD 	aquela
tarde 	NC 	tarde
. 	Fp 	.
- 	Fg 	-
dizer 	VMI 	Disse
me 	PP 	me
o 	DA 	o
wood 	NP 	Wood
. 	Fp 	.
ron 	NP 	Ron
estar 	VMI 	estava
tão 	RG 	tão
pasmar 	VMP 	pasmado
, 	Fc 	,
tão 	RG 	tão
aparvalhar 	VMP 	aparvalhado
que 	PR 	que
não 	RN 	não
parar 	VMI 	parava
de 	SP 	de
olhar 	VMN 	olhar
para 	SP 	para
o 	DA 	o
amigo 	NC 	amigo
. 	Fp 	.
- 	Fg 	-
comedir 	VMI 	Começo
a 	SP 	a
treinar 	VMN 	treinar
para 	SP 	para
o 	DA 	a
semana 	NC 	semana
- 	Fg 	-
dizer 	VMI 	disse
ele 	PP 	ele
, 	Fc 	,
- 	Fg 	-
mas 	CC 	mas
não 	RN 	não
contar 	VMS 	contes
nada 	PI 	nada
a 	SP 	a
ninguém 	PI 	ninguém
. 	Fp 	.
o 	DA 	O
wood 	NP 	Wood
querer 	VMI 	quer
manter 	VMN 	manter
isso 	PD 	isso
em 	SP 	em
segredo 	NC 	segredo
. 	Fp 	.
fred 	NP 	Fred
e 	CC 	e
george_weasley 	NP 	George_Weasley
chegar 	VMI 	chegaram
em 	SP 	em
aquele 	DD 	aquele
momento 	NC 	momento
a 	SP 	a
o 	DA 	o
salão 	NC 	salão
, 	Fc 	,
reconhecer 	VMI 	reconheceram
harry 	NP 	Harry
e 	CC 	e
comentar 	VMI 	comentaram
de 	SP 	de
imediato 	NC 	imediato
: 	Fd 	:
- 	Fg 	-
bom 	AQ 	Boa
- 	Fg 	-
dizer 	VMI 	disse
o 	DA 	o
george 	NP 	George
em 	SP 	em
voz 	NC 	voz
baixo 	AQ 	baixa
. 	Fp 	.
- 	Fg 	-
o 	DA 	O
wood 	NP 	Wood
contar 	VMI 	contou
nos 	PP 	nos
. 	Fp 	.
nós 	PP 	Nós
também 	RG 	também
fazer 	VMI 	fazemos
parte 	NC 	parte
de 	SP 	de
o 	DA 	a
equipa 	NC 	equipa
como 	CS 	como
* 	Fz 	*
beaters 	NC 	beaters
* 	Fz 	*
. 	Fp 	.
- 	Fg 	-
não 	RN 	Não
ter 	VMI 	tenho
dúvida 	NC 	dúvidas
de 	SP 	de
que 	CS 	que
este 	DD 	este
ano 	NC 	ano
ir 	VMI 	vamos
ganhar 	VMN 	ganhar
o 	DA 	a
taça 	NC 	taça
de 	SP 	de
quidditch 	NP 	Quidditch
- 	Fg 	-
dizer 	VMI 	disse
o 	DA 	o
fred 	NP 	Fred
. 	Fp 	.
- 	Fg 	-
nunca 	RG 	Nunca
mais 	RG 	mais
ganhar 	VMI 	ganhámos
desde_que 	CS 	desde_que
o 	DA 	o
charlie 	NP 	Charlie
se 	PP 	se
ir 	VMI 	foi
embora 	CS 	embora
