j._k._rowling_harry_potter 	NP 	J._K._Rowling_Harry_Potter
um_pouco 	PI 	um_pouco
por 	SP 	por
todo_o_mundo 	PI 	todo_o_mundo
. 	Fp 	.
um 	DI 	Um
* 	Fz 	*
bestseller 	NC 	bestseller
* 	Fz 	*
com 	SP 	com
todo 	DI 	todos
o 	DA 	os
ingrediente 	NC 	ingredientes
de 	SP 	de
um 	DI 	um
grande 	AQ 	grande
* 	Fz 	*
clássico 	NC 	clássico
* 	Fz 	*
, 	Fc 	,
já 	RG 	já
galardoar 	VMP 	galardoado
com 	SP 	com
o 	DA 	o
gold_award 	NP 	Gold_Award
de 	SP 	de
1997 	Z 	1997
, 	Fc 	,
o 	DA 	o
british_book_award 	NP 	British_Book_Award
de 	SP 	de
1997 	Z 	1997
, 	Fc 	,
o 	DA 	o
smarties_prize 	NP 	Smarties_Prize
e 	CC 	e
o 	DA 	o
children's_book 	NP 	Children's_Book
of 	NC 	of
the 	VMS 	the
year 	NP 	Year
de 	SP 	de
1998 	Z 	1998
. 	Fp 	.
para 	SP 	Para
o 	DA 	a
jessica 	NP 	Jessica
que 	PR 	que
adorar 	VMI 	adora
história 	NC 	histórias
para_a_ana 	NP 	Para_a_Ana
que 	PR 	que
também 	RG 	também
o 	PP 	as
adorar 	VMI 	adora
e 	CC 	e
para 	SP 	para
di 	NP 	Di
, 	Fc 	,
que 	PR 	que
ouvir 	VMI 	ouviu
este 	DD 	esta
primeiro 	AO 	primeiro
i_o 	NP 	I_O
rapaz 	NC 	rapaz
que 	PR 	que
sobreviver 	VMI 	sobreviveu
o 	NP 	O
senhor 	NC 	senhor
e 	CC 	e
o 	DA 	a
senhor 	NC 	senhora
dursley 	NP 	Dursley
que 	PR 	que
viver 	VMI 	vivem
em 	SP 	em
o 	DA 	o
número 	NC 	número
4 	Z 	quatro
de 	SP 	de
privet_drive 	NP 	Privet_Drive
sempre 	RG 	sempre
afirmar 	VMI 	afirmaram
, 	Fc 	,
para 	SP 	para
quem 	PR 	quem
o 	PP 	os
querer 	VMS 	quisesse
ouvir 	VMN 	ouvir
, 	Fc 	,
ser 	VMN 	ser
o 	DA 	o
mais 	RG 	mais
normal 	AQ 	normal
que 	PR 	que
ser 	VMI 	é
possível 	AQ 	possível
ser 	VMN 	ser
se 	PP 	se
, 	Fc 	,
graças_a 	SP 	graças_a
deus 	NP 	Deus
. 	Fp 	.
ser 	VMI 	Eram
o 	DA 	as
último 	AO 	últimas
pessoa 	NC 	pessoas
que 	PR 	que
alguém 	PI 	alguém
esperar 	VMI 	esperaria
ver 	VMN 	ver
envolver 	VMP 	envolvidas
em 	SP 	em
algo 	PI 	algo
estranho 	AQ 	estranho
ou 	CC 	ou
misterioso 	AQ 	misterioso
porque 	CS 	porque
, 	Fc 	,
puro 	AQ 	pura
e 	CC 	e
simplesmente 	RG 	simplesmente
, 	Fc 	,
não 	RN 	não
acreditar 	VMI 	acreditavam
em 	SP 	em
esse 	DD 	esses
disparate 	NC 	disparates
. 	Fp 	.
o 	DA 	O
senhor 	NC 	senhor
dursley 	NP 	Dursley
ser 	VMI 	era
director 	NC 	director
de 	SP 	de
um 	DI 	uma
empresa 	NC 	empresa
chamar 	VMP 	chamada
grunnings 	NP 	Grunnings
que 	PR 	que
fabricar 	VMI 	fabricava
broca 	NC 	brocas
. 	Fp 	.
ser 	VMI 	Era
um 	DI 	um
homem 	NC 	homem
atarracar 	VMP 	atarracado
, 	Fc 	,
quase 	RG 	quase
sem 	SP 	sem
pescoço 	NC 	pescoço
, 	Fc 	,
apesar 	CC 	apesar
de 	SP 	de
o 	DA 	o
seu 	DP 	seu
farto 	AQ 	farto
bigode 	NC 	bigode
. 	Fp 	.
o 	DA 	A
senhor 	NC 	senhora
dursley 	NP 	Dursley
ser 	VMI 	era
magro 	AQ 	magra
e 	CC 	e
loiro 	AQ 	loira
e 	CC 	e
